id,title,duration,mpa,rating,votes,méta_score,description,movie_link,writers,directors,stars,budget,opening_weekend_gross,gross_worldwide,gross_us_canada,release_date,countries_origin,filming_locations,production_companies,awards_content,genres,languages
tt0209077,Ken Park,1h 33m,Not Rated,5.8,31K,,Ken Park is about several Californian skateboarders' lives and relationships with and without their parents.,https://www.imdb.com/title/tt0209077/,"['Harmony Korine', 'Larry Clark']","['Larry Clark', 'Edward Lachman']","['Adam Chubbuck', 'James Bullard', 'Seth Gray', 'Eddie Daniels', 'Zara McDowell', 'Maeve Quinlan', 'Stephen Jasso', 'Wade Williams', 'Tiffany Limos', 'Julio Oscar Mechoso']",,,"$1,058,905",,03-04-2003,"['United States', 'Netherlands', 'France']","['Visalia, California, USA']","['Cinéa', 'Kasander Film Company', 'Lou Yi Inc.']",,['Drama'],['English']
tt10713340,Held,1h 34m,,5.3,3.1K,46,A couple's ailing marriage is put to the test when they are held hostage in an isolated vacation rental by an unseen Voice that commands their every move.,https://www.imdb.com/title/tt10713340/,['Jill Awbrey'],"['Travis Cluff', 'Chris Lofing']","['Jill Awbrey', 'Bart Johnson', 'Travis Cluff', 'Zack Gold', 'Rez Kempton', 'Jener Dasilva', 'Jana Claire Price', 'Ian Jones', 'Ryan Shoos', 'Liz Fenning']",,"$46,277","$150,913","$142,817",09-04-2021,['United States'],"['Fresno, California, USA']",['Tremendum Pictures'],,"['Horror', 'Mystery', 'Thriller']",['English']
tt0463903,Be with Me,1h 33m,Not Rated,7,1.8K,67,"""Be with Me"" consists of three stories of love vs. solitude : 1) An aging, lonesome shopkeeper doesn't believe in life anymore, ever since his wife died. But he is saved from desperation by reading an autobiographical book and meeting its author, a deaf and blind woman of his own age. 2) Fatty, a security guard in his fifties, lives for two things: good food and love for a pretty executive living in his block of flats. But, if it is easy to satisfy his first need, winning the heart of the distant belle is a horse of another color. 3) Two teenage schoolgirls get to know each other on the Internet. Soon they fall in love.",https://www.imdb.com/title/tt0463903/,"['Theresa Poh Lin Chan', 'Eric Khoo', 'Kim Hoh Wong']",['Eric Khoo'],"['Theresa Poh Lin Chan', 'Chiew Sung Ching', 'Lawrence Yong', 'Leong Kooi Eng', 'Elizabeth Choy', 'Seet Keng Yew', 'Lynn Poh', 'Ng Sway Ah', 'Poh Huat Lim', 'Sanwan Bin Rais']","SGD200,000 (estimated)","$1,200","$91,297","$1,365",08-09-2005,['Singapore'],['Singapore'],"['Zhao Wei Films (I)', 'Infinite Frameworks Pte. Ltd.']",,"['Drama', 'Romance']","['Cantonese', 'English', 'Hokkien', 'Mandarin']"
tt0038612,Home on the Range,55m,Approved,5.5,58,,"When two brothers settle a wilderness, one builds the largest cattle ranch in the state while the other creates a game preserve to protect the wild life. When Grizzly's brother dies, Bonnie takes over and soon finds that the bears are killing her cattle. Bonnie starts hunting bears, but she does not know that Dan is behind the attacks on her cattle with a caged bear. Dan wants to take over Grizzly's land. Monte is working for Grizzly to protect the wild animals until Grizzly can donate the land to the government as a preserve.",https://www.imdb.com/title/tt0038612/,"['Betty Burbridge', 'Bernard McConville']",['R.G. Springsteen'],"['Monte Hale', 'Lorna Gray', 'Bob Nolan', 'Sons of the Pioneers', 'Tom Chatterton', 'Robert Blake', 'LeRoy Mason', 'Roy Barcroft', 'Kenne Duncan', 'Budd Buster']",,,,,18-04-1946,['United States'],"['Brandeis Ranch, Chatsworth, Los Angeles, California, USA']",['Republic Pictures (I)'],,"['Drama', 'Western']",['English']
tt14330236,Mack & Rita,1h 34m,PG-13,4.8,2.4K,49,A 30-year-old writer spends a wild weekend in Palm Springs and wakes up to find she has magically transformed into her 70-year-old self.,https://www.imdb.com/title/tt14330236/,"['Madeline Walter', 'Paul Welsh']",['Katie Aselton'],"['Diane Keaton', 'Elizabeth Lail', 'Molly Duplass', 'Taylour Paige', 'Loretta Devine', 'Dustin Milligan', 'Amy Hill', 'Lois Smith', 'Wendie Malick', 'Aimee Carrero']",,"$1,038,291","$2,707,837","$2,540,965",12-08-2022,"['United States', 'Luxembourg']","['Los Angeles, California, USA']","['CaliWood Pictures', 'Hercules Film Fund', 'Hungry Bull Productions']",,"['Comedy', 'Fantasy']",['English']
tt27491225,Things Will Be Different,1h 42m,,5.2,2.3K,62,"In order to escape police after a robbery, two estranged siblings lie low in a farmhouse that hides them away in a different time. There they reckon with a mysterious force that pushes their familial bonds to unnatural breaking points.",https://www.imdb.com/title/tt27491225/,['Michael Felker'],['Michael Felker'],"['Adam David Thompson', 'Riley Dandy', 'Chloe Skoczen', 'Justin Benson', 'Sarah Bolger', 'Jori Felker']",,"$3,988","$9,495","$7,746",04-10-2024,['United States'],"['Indiana, USA (Shoot Location)']","['Last Life', 'Rustic Films']",,"['Horror', 'Sci-Fi', 'Thriller']",['English']
tt1864405,Low Down,1h 54m,R,6.1,2.3K,58,"A look at the life of pianist Joe Albany from the perspective of his young daughter, as she watches him contend with his drug addiction during the 1970s jazz scene.",https://www.imdb.com/title/tt1864405/,"['Amy Albany', 'Topper Lilien']",['Jeff Preiss'],"['John Hawkes', 'Elle Fanning', 'Glenn Close', 'Peter Dinklage', 'Flea', 'Lena Headey', 'Caleb Landry Jones', 'River Ross', 'Taryn Manning', 'Billy Drago']",,"$5,278","$54,051","$54,051",27-01-2015,['United States'],,"['Bona Fide Productions', 'Epoch Films', 'Heretic Films']",,"['Biography', 'Drama', 'Music']",['English']
tt0060660,A Man Called Adam,1h 44m,Not Rated,6.5,800,,A famous jazz trumpeter finds himself unable to cope with the problems of everyday life.,https://www.imdb.com/title/tt0060660/,"['Lester Pine', 'Tina Pine']",['Leo Penn'],"['Sammy Davis Jr.', 'Louis Armstrong', 'Ossie Davis', 'Cicely Tyson', 'Frank Sinatra Jr.', 'Mel Tormé', 'Peter Lawford', 'Johnny Brown', 'George Rhodes', 'Michael Silva']",,,,,17-03-1967,['United States'],"[""Danny's Hide-A-Way - 151 East 45th Street, New York City, New York, USA""]",['Trace-Mark Productions'],,"['Drama', 'Music']",['English']
tt0048294,Let's Make Up,1h 12m,,5.1,206,,A young actress must decide which of two lovers will be her husband. She daydreams about each one to help her decide.,https://www.imdb.com/title/tt0048294/,"['Robert Nesbitt', 'Harold Purcell']",['Herbert Wilcox'],"['Errol Flynn', 'Anna Neagle', 'David Farrar', 'Kathleen Harrison', 'Peter Graves', 'Helen Haye', 'Scott Sanders', 'Alma Taylor', 'Hetty King', 'Alan Gifford']",,,,,28-04-1955,['United Kingdom'],"['Borehamwood, Hertfordshire, England, UK']",['Herbert Wilcox Productions'],,"['Comedy', 'Fantasy', 'Romance']",['English']
tt0042874,Radar Secret Service,59m,Approved,2.6,954,,"G-men track stolen Uranium-238 shipment using new radar technology; they also recruit the girlfriend of a gang member as an informant. Radar helps, but it takes an undercover blonde to really get the goods on criminal masterminds.",https://www.imdb.com/title/tt0042874/,['Beryl Sachs'],['Sam Newfield'],"['John Howard', 'Adele Jergens', 'Tom Neal', 'Myrna Dell', 'Sid Melton', 'Ralph Byrd', 'Robert Kent', 'Pierre Watkin', 'Tristram Coffin', 'Riley Hill']",,,,,28-01-1950,['United States'],"['Universal Studios - 100 Universal City Plaza, Universal City, California, USA (Studio)']",['Lippert Pictures'],,"['Action', 'Crime', 'Drama', 'Romance']",['English']
